time,type,note,velocity
37.269,note_off,42,0
37.385,note_on,36,50
37.385,note_on,35,50
37.500,note_off,35,0
37.500,note_off,36,0
37.615,note_off,60,0
37.615,note_off,49,0
37.615,note_on,48,50
37.615,note_on,60,50
37.615,note_on,42,50
37.731,note_off,42,0
37.846,note_on,36,50
37.962,note_off,36,0
38.077,note_on,42,50
38.192,note_off,42,0
38.308,note_on,36,50
38.308,note_on,35,50
38.423,note_off,35,0
38.423,note_off,36,0
38.538,note_on,42,50
38.654,note_off,60,0
38.654,note_off,48,0
38.654,note_off,42,0
38.655,note_off,77,0
38.655,note_off,72,0
38.655,note_off,68,0
38.769,note_on,53,50
38.769,note_on,60,50
38.769,note_on,36,50
38.770,note_on,77,50
38.770,note_on,80,50
38.770,note_on,84,50
38.770,note_on,89,50
38.885,note_off,36,0
39.000,note_on,42,50
39.115,note_off,42,0
39.231,note_off,60,0
39.231,note_off,53,0
39.231,note_on,52,50
39.231,note_on,60,50
39.231,note_on,36,50
39.231,note_on,35,50
39.232,note_off,89,0
39.232,note_off,84,0
39.232,note_off,80,0
39.232,note_off,77,0
39.232,note_on,79,50
39.232,note_on,84,50
39.232,note_on,88,50
39.232,note_on,91,50
39.346,note_off,35,0
39.346,note_off,36,0
39.347,note_off,91,0
39.347,note_off,88,0
39.347,note_off,84,0
39.347,note_off,79,0
39.461,note_on,42,50
39.463,note_on,79,50
39.463,note_on,84,50
39.463,note_on,88,50
39.463,note_on,91,50
39.577,note_off,42,0
39.578,note_off,91,0
39.578,note_off,88,0
39.578,note_off,84,0
39.578,note_off,79,0
39.692,note_off,60,0
39.692,note_off,52,0
39.692,note_on,51,50
39.692,note_on,60,50
39.692,note_on,36,50
39.693,note_on,80,50
39.693,note_on,84,50
39.693,note_on,87,50
39.693,note_on,92,50
39.808,note_off,36,0
39.923,note_on,42,50
40.038,note_off,60,0
40.038,note_off,51,0
40.038,note_on,50,50
40.038,note_on,62,50
40.038,note_off,42,0
40.040,note_off,92,0
40.040,note_off,87,0
40.040,note_off,84,0
40.040,note_off,80,0
40.040,note_on,84,50
40.040,note_on,84,50
40.040,note_on,86,50
40.040,note_on,89,50
40.154,note_on,36,50
40.154,note_on,35,50
40.269,note_off,35,0
40.269,note_off,36,0
40.385,note_off,50,0
40.385,note_on,50,50
40.385,note_on,42,50
40.386,note_off,84,0
40.386,note_off,84,0
40.386,note_on,80,50
40.386,note_on,92,50
40.500,note_off,42,0
40.615,note_off,62,0
40.615,note_off,50,0
40.615,note_on,49,50
40.615,note_on,61,50
40.615,note_on,36,50
40.617,note_off,89,0
40.617,note_off,86,0
40.617,note_off,92,0
40.617,note_off,80,0
40.617,note_on,83,50
40.617,note_on,95,50
40.617,note_on,85,50
40.617,note_on,89,50
40.731,note_off,36,0
40.846,note_on,42,50
40.961,note_off,42,0
40.963,note_off,95,0
40.963,note_off,83,0
40.963,note_on,82,50
